id,LinName,bus_a,bus_b
157,Angostura220->Mulchen220,101,159
158,Antuco220->Charrua220,102,114
159,Antuco220->Trupan220,102,213
160,Apoquindo110->ElSalto110,103,136
161,ASanta110->Mirafl110,104,157
162,ASanta220->ASanta110,105,104
163,ASanta220->ASanta110_2,105,104
164,Batuco110->PPeuco110,106,180
165,Batuco110->PPeuco110_I,106,180
166,Bocamina154->Coronel154,107,133
167,Buin110->LoEspejo110,108,151
168,Candela220->AJahuel220,109,93
169,Canutilla220->PMontt220,110,176
170,Cautin220->RioTolten220,111,189
171,Charrua066->Cholguan066,112,120
172,Charrua154->Charrua066,113,112
173,Charrua154->Chillan154,113,118
174,Charrua154->Conce154,113,130
175,Charrua154->Parral154,113,168
176,Charrua220->Charrua154,114,113
177,Charrua220->Charrua500,114,115
178,Charrua220->Conce154,114,130
179,Charrua220Aux->Duqueco220,229,135
180,Charrua220->EntreRios220,114,137
181,Charrua220->Hualpen220,114,143
182,Charrua220->Lagunillas220,114,146
183,Charrua220Aux->Mulchen220,229,159
184,Charrua220->Ralco220,114,185
185,Charrua500->Ancoa500AuxS,115,226
186,Chena110->LoEspejo110,116,151
187,Chena220->Chena110,117,116
188,Chillan154->SantaElvira066,118,192
189,Chiloe110->Degan110,119,134
190,Chiloe110->Pid-Pid110,119,174
191,Chiloe220->Chiloe110,222,119
192,Cholguan220->Charrua220,121,114
193,Cipreses154->Itahue154,123,144
194,Ciruelos220->Pichirropulli220Aux,124,228
195,Ciruelos220->Valdivia220,124,216
196,CNavia110->Batuco110,125,106
197,CNavia110->Batuco110_I,125,106
198,CNavia110->Chena110,125,116
199,CNavia110->LVegas110_exp,125,153
200,CNavia220_Aux_D->Polpaico220,127,178
201,CNavia220->Chena220,126,117
202,CNavia220->CNavia110,126,125
203,CNavia220->CNavia220_Aux_D,126,127
204,Colbun220->Ancoa220,128,99
205,Colbun220->PNegro220,128,177
206,Conce154->Conce066,130,129
207,Conce154->SVicente154,130,203
208,Coronel066->Guindo066,132,219
